station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
IND,2020-04-01 17:05,M,M,M,300.00,7.00,M,30.06,M,10.00,M,OVC,M,M,M,1900.00,M,M,M,M,M,M,M,M,M,M,M,KIND 011705Z AUTO 30007KT 10SM OVC019 09/04 A3005 RMK T00900040 MADISHF
IND,2020-04-01 17:10,M,M,M,300.00,4.00,M,30.06,M,10.00,M,OVC,M,M,M,1900.00,M,M,M,M,M,M,M,M,M,M,M,KIND 011710Z AUTO 30004KT 10SM OVC019 08/04 A3005 RMK T00800040 MADISHF
IND,2020-04-01 17:15,M,M,M,M,M,M,30.06,M,10.00,M,OVC,M,M,M,1999.00,M,M,M,M,M,M,M,M,M,M,M,KIND 011715Z AUTO /////KT 10SM OVC019 09/04 A3005 RMK T00900040 MADISHF
IND,2020-04-01 17:20,M,M,M,300.00,5.00,M,30.06,M,10.00,30.00,OVC,M,M,M,1999.00,M,M,M,M,M,M,M,M,M,M,M,KIND 011720Z AUTO 30005G30KT 10SM OVC019 09/04 A3005 RMK T00900040 MADISHF
IND,2020-04-01 17:25,M,M,M,300.00,5.00,M,30.06,M,10.00,30.00,OVC,M,M,M,1999.00,M,M,M,M,M,M,M,M,M,M,M,KIND 011725Z AUTO 30005G30KT 10SM OVC019 09/04 A3005 RMK T00900040 MADISHF
IND,2020-04-01 17:30,M,M,M,300.00,5.00,M,30.06,M,10.00,30.00,BKN,OVC,M,M,1999.00,6500.00,M,M,M,M,M,M,M,M,M,M,KIND 011730Z AUTO 30005G30KT 10SM BKN019 OVC065 09/04 A3005 RMK T00900040 MADISHF
IND,2020-04-01 17:35,M,M,M,330.00,5.00,M,30.06,M,10.00,30.00,BKN,OVC,M,M,1999.00,6500.00,M,M,M,M,M,M,M,M,M,M,KIND 011735Z AUTO 33005G30KT 10SM BKN019 OVC065 09/04 A3005 RMK T00900040 MADISHF
IND,2020-04-01 17:40,M,M,M,340.00,5.00,M,30.06,M,10.00,30.00,BKN,OVC,M,M,1999.00,6500.00,M,M,M,M,M,M,M,M,M,M,KIND 011740Z AUTO 34005G30KT 10SM BKN019 OVC065 09/04 A3005 RMK T00900040 MADISHF
IND,2020-04-01 17:45,M,M,M,340.00,5.00,M,30.06,M,10.00,30.00,BKN,OVC,M,M,1999.00,6500.00,M,M,M,M,M,M,M,M,M,M,KIND 011745Z AUTO 34005G30KT 10SM BKN019 OVC065 09/04 A3005 RMK T00900040 MADISHF
IND,2020-04-01 17:50,M,M,M,300.00,5.00,M,30.06,M,10.00,M,BKN,OVC,M,M,2100.00,6500.00,M,M,M,M,M,M,M,M,M,M,KIND 011750Z AUTO 30005KT 10SM BKN021 OVC065 09/04 A3005 RMK T00900040 MADISHF
IND,2020-04-01 17:54,48.90,39.00,68.51,330.00,4.00,0.00,30.06,1018.00,10.00,M,BKN,OVC,M,M,2100.00,6500.00,M,M,M,M,M,M,M,M,M,47.16,KIND 011754Z 33004KT 10SM BKN021 OVC065 09/04 A3006 RMK AO2 SLP180 T00940039 10094 20044 50000
IND,2020-04-01 17:55,M,M,M,330.00,4.00,M,30.06,M,10.00,M,BKN,OVC,M,M,2100.00,6500.00,M,M,M,M,M,M,M,M,M,M,KIND 011755Z AUTO 33004KT 10SM BKN021 OVC065 09/04 A3005 RMK T00900040 MADISHF
IND,2020-04-01 18:00,M,M,M,350.00,5.00,M,30.06,M,10.00,M,BKN,OVC,M,M,2300.00,6500.00,M,M,M,M,M,M,M,M,M,M,KIND 011800Z AUTO 35005KT 10SM BKN023 OVC065 09/04 A3005 RMK T00900040 MADISHF
IND,2020-04-01 18:05,M,M,M,340.00,5.00,M,30.05,M,10.00,M,BKN,OVC,M,M,2300.00,6500.00,M,M,M,M,M,M,M,M,M,M,KIND 011805Z AUTO 34005KT 10SM BKN023 OVC065 09/04 A3004 RMK T00900040 MADISHF
IND,2020-04-01 18:10,M,M,M,320.00,5.00,M,30.05,M,10.00,M,BKN,OVC,M,M,2300.00,6500.00,M,M,M,M,M,M,M,M,M,M,KIND 011810Z AUTO 32005KT 10SM BKN023 OVC065 10/04 A3004 RMK T01000040 MADISHF
IND,2020-04-01 18:15,M,M,M,10.00,5.00,M,30.05,M,10.00,M,BKN,BKN,M,M,2300.00,6500.00,M,M,M,M,M,M,M,M,M,M,KIND 011815Z AUTO 01005KT 10SM BKN023 BKN065 10/04 A3004 RMK T01000040 VRB06KT  MADISHF
IND,2020-04-01 18:20,M,M,M,320.00,5.00,M,30.05,M,10.00,M,BKN,BKN,M,M,2300.00,6500.00,M,M,M,M,M,M,M,M,M,M,KIND 011820Z AUTO 32005KT 10SM BKN023 BKN065 11/04 A3004 RMK T01100040 MADISHF
IND,2020-04-01 18:25,M,M,M,330.00,5.00,M,30.05,M,10.00,M,BKN,BKN,M,M,2300.00,6500.00,M,M,M,M,M,M,M,M,M,M,KIND 011825Z AUTO 33005KT 10SM BKN023 BKN065 10/04 A3004 RMK T01000040 MADISHF
IND,2020-04-01 18:30,M,M,M,300.00,5.00,M,30.05,M,10.00,M,BKN,BKN,M,M,2500.00,6500.00,M,M,M,M,M,M,M,M,M,M,KIND 011830Z AUTO 30005KT 10SM BKN025 BKN065 11/04 A3004 RMK T01100040 MADISHF
